timestamp,catalog,instrument,technique,long,lat,speed,type,half_width,time_21_5,earth_prediction,PE
12/29/13 1:36,M2M_CATALOG,SOHO: LASCO/C2,,6,29,531,C,41,2013-12-29T10:20Z,2014-01-01T10:53Z,0.7
1/14/14 10:24,M2M_CATALOG,STEREO A: SECCHI/COR2,,-7,16,752,C,43,2014-01-14T14:43Z,2014-01-16T21:09Z,1.1
1/30/14 16:24,M2M_CATALOG,SOHO: LASCO/C2,,-63,-15,998,C,58,2014-01-30T19:29Z,2014-02-02T07:49Z,-15.5
2/4/14 1:25,M2M_CATALOG,SOHO: LASCO/C2,,29,-34,660,C,62,2014-02-04T07:00Z,2014-02-07T00:38Z,-15.6
2/11/14 5:24,M2M_CATALOG,SOHO: LASCO/C2,,-8,2,488,S,32,2014-02-11T15:08Z,2014-02-14T16:45Z,-19.8
2/11/14 9:48,M2M_CATALOG,SOHO: LASCO/C2,,22,21,490,S,45,2014-02-11T16:27Z,2014-02-14T16:45Z,-19.8
2/12/14 5:48,M2M_CATALOG,SOHO: LASCO/C2,,8,10,755,C,60,2014-02-12T10:15Z,2014-02-14T16:45Z,-19.8
2/18/14 1:25,M2M_CATALOG,SOHO: LASCO/C2,,-49,-28,851,C,63,2014-02-18T05:29Z,2014-02-20T13:23Z,10.6
2/19/14 16:00,M2M_CATALOG,SOHO: LASCO/C2,,-1,-37,800,C,45,2014-02-19T20:18Z,2014-02-22T11:26Z,-18.6
2/20/14 3:12,M2M_CATALOG,SOHO: LASCO/C2,,-39,-48,643,C,45,2014-02-20T07:55Z,2014-02-23T12:00Z,6
3/23/14 4:09,M2M_CATALOG,STEREO B: SECCHI/COR2,,-35,4,700,C,52,2014-03-23T08:40Z,2014-03-25T18:31Z,-0.9
3/23/14 6:54,M2M_CATALOG,STEREO B: SECCHI/COR2,,-44,36,568,C,40,2014-03-23T12:30Z,2014-03-25T18:31Z,-0.9
4/2/14 13:55,M2M_CATALOG,STEREO B: SECCHI/COR2,,-50,19,1604,O,68,2014-04-02T15:51Z,2014-04-04T06:07Z,-27.6
4/18/14 13:09,M2M_CATALOG,STEREO A: SECCHI/COR2,,10,-34,1400,O,45,2014-04-18T15:22Z,2014-04-20T09:09Z,-1.2
5/3/14 6:24,M2M_CATALOG,SOHO: LASCO/C2,,51,11,576,C,25,2014-05-03T12:47Z,2014-05-07T00:00Z,-21.6
5/25/14 2:36,M2M_CATALOG,SOHO: LASCO/C2,,7,27,492,S,28,2014-05-25T10:55Z,2014-05-28T12:00Z,17.3
6/4/14 13:25,M2M_CATALOG,STEREO B: SECCHI/COR2,,-41,-45,572,C,43,2014-06-04T23:26Z,2014-06-08T00:00Z,7.8
6/19/14 19:24,M2M_CATALOG,SOHO: LASCO/C2,,-19,2,530,C,47,2014-06-19T23:57Z,2014-06-22T18:00Z,-28
6/25/14 12:54,M2M_CATALOG,STEREO B: SECCHI/COR2,,-7,26,462,S,35,2014-06-25T23:39Z,2014-06-28T14:00Z,-28
6/30/14 7:12,M2M_CATALOG,SOHO: LASCO/C2,,-56,-15,675,C,23,2014-06-30T11:36Z,2014-07-03T18:00Z,18.5
7/11/14 11:24,M2M_CATALOG,SOHO: LASCO/C2,,13,-19,600,C,14,2014-07-11T14:27Z,2014-07-14T18:00Z,4.5
8/15/14 21:12,M2M_CATALOG,SOHO: LASCO/C2,,5,12,676,C,39,2014-08-16T01:36Z,2014-08-18T08:30Z,-21.4
8/22/14 11:24,M2M_CATALOG,SOHO: LASCO/C2,,29,10,444,S,50,2014-08-22T19:30Z,2014-08-25T20:14Z,-27.8
8/22/14 17:00,M2M_CATALOG,SOHO: LASCO/C2,,29,19,457,S,30,2014-08-22T23:28Z,2014-08-25T20:14Z,-27.8
9/9/14 0:16,M2M_CATALOG,SOHO: LASCO/C2,,-30,26,780,C,43,2014-09-09T04:16Z,2014-09-11T14:19Z,-8.6
9/10/14 18:18,M2M_CATALOG,SOHO: LASCO/C3,,10,15,1400,O,45,2014-09-10T20:00Z,2014-09-11T14:19Z,-25.1
11/1/14 5:12,M2M_CATALOG,SOHO: LASCO/C2,,-43,-9,1800,O,32,2014-11-01T07:05Z,2014-11-03T08:00Z,-14.4
11/7/14 18:08,M2M_CATALOG,SOHO: LASCO/C2,,-26,21,800,C,52,2014-11-07T22:02Z,2014-11-09T19:31Z,-6.1
12/17/14 5:00,M2M_CATALOG,SOHO: LASCO/C2,,5,-30,603,C,29,2014-12-17T08:39Z,2014-12-20T08:00Z,-20.2
12/19/14 0:27,M2M_CATALOG,SOHO: LASCO/C3,,-20,-9,885,C,45,2014-12-19T01:12Z,2014-12-21T05:45Z,-12.6
12/20/14 1:25,M2M_CATALOG,SOHO: LASCO/C2,,23,-43,964,C,25,2014-12-20T04:09Z,2014-12-21T05:45Z,-32.7
1/2/15 14:36,M2M_CATALOG,SOHO: LASCO/C2,,34,3,353,S,23,2015-01-02T23:55Z,2015-01-06T00:00Z,-29.4
1/12/15 15:36,M2M_CATALOG,SOHO: LASCO/C2,,-45,3,880,C,27,2015-01-12T18:39Z,2015-01-15T08:00Z,-14.7
1/12/15 16:57,M2M_CATALOG,SOHO: LASCO/C2,,55,13,350,S,27,2015-01-13T02:28Z,2015-01-15T08:00Z,-14.7
